Age,Life_Expectancy,Sex
0,76.3289995826,Male
1,75.5464237261,Male
2,74.5668718972,Male
3,73.5753016103,Male
4,72.5827139048,Male
5,71.5908224201,Male
6,70.5996622933,Male
7,69.6076736066,Male
8,68.6137552564,Male
9,67.6186803248,Male
10,66.6240800913,Male
11,65.631617955,Male
12,64.6414629571,Male
13,63.6506285234,Male
14,62.6575687399,Male
15,61.6636406052,Male
16,60.6717458337,Male
17,59.6860305508,Male
18,58.7108459269,Male
19,57.7450157551,Male
20,56.7839505819,Male
21,55.8245274438,Male
22,54.8658872404,Male
23,53.9068450979,Male
24,52.9456206134,Male
25,51.981120331,Male
26,51.0142166601,Male
27,50.0473211001,Male
28,49.0826377438,Male
29,48.1204050992,Male
30,47.1586042711,Male
31,46.1956468583,Male
32,45.2321990548,Male
33,44.2707393764,Male
34,43.3129224779,Male
35,42.3579974475,Male
36,41.4030610084,Male
37,40.4468143192,Male
38,39.4905488211,Male
39,38.5370945681,Male
40,37.588183551,Male
41,36.6436158761,Male
42,35.7019651431,Male
43,34.7628619807,Male
44,33.8274812089,Male
45,32.8976710184,Male
46,31.9746217816,Male
47,31.0585704615,Male
48,30.1497793938,Male
49,29.2496792841,Male
50,28.3610395237,Male
51,27.4854960263,Male
52,26.621208392,Male
53,25.7627813407,Male
54,24.906818833,Male
55,24.054347424,Male
56,23.2098796535,Male
57,22.3772457126,Male
58,21.5584416302,Male
59,20.7540294127,Male
60,19.9649530014,Male
61,19.1929493604,Male
62,18.4397682524,Male
63,17.7056456443,Male
64,16.9887750662,Male
65,16.286760354,Male
66,15.5984220315,Male
67,14.9240436583,Male
68,14.2638943089,Male
69,13.6171311804,Male
70,12.9820047609,Male
71,12.3583685095,Male
72,11.7489873526,Male
73,11.1577454404,Male
74,10.5840503548,Male
75,10.0231621524,Male
76,9.4701877949,Male
77,8.9257841152,Male
78,8.394677966,Male
79,7.8815217195,Male
80,7.3881109994,Male
81,6.9148217792,Male
82,6.4626678673,Male
83,6.0313001354,Male
84,5.621246313,Male
85,5.2328905243,Male
86,4.866466284,Male
87,4.5220525082,Male
88,4.1995728015,Male
89,3.8987981575,Male
90,3.6193530777,Male
91,3.360724981,Male
92,3.122276652,Male
93,2.9032613962,Male
94,2.7028405497,Male
95,2.5201030859,Male
96,2.3540873523,Male
97,2.203805632,Male
98,2.0682735927,Male
99,1.9465495331,Male
100,1.8377943243,Male
101,1.7413758797,Male
102,1.6570706139,Male
103,1.5854792731,Male
104,1.5289250894,Male
105,1.4934589616,Male
0,82.1014818384,Female
1,81.2843907954,Female
2,80.3043311236,Female
3,79.312914208,Female
4,78.3201500519,Female
5,77.3273995451,Female
6,76.3349202966,Female
7,75.3422614992,Female
8,74.3488426557,Female
9,73.3546213958,Female
10,72.3599382184,Female
11,71.3652019331,Female
12,70.3707695136,Female
13,69.3770040071,Female
14,68.3842573454,Female
15,67.3928168363,Female
16,66.4028378073,Female
17,65.414345007,Female
18,64.4272068282,Female
19,63.4411308282,Female
20,62.4557980776,Female
21,61.4709321873,Female
22,60.4863254634,Female
23,59.501844386,Female
24,58.5174353698,Female
25,57.5330949011,Female
26,56.5488223834,Female
27,55.5646178045,Female
28,54.5805129833,Female
29,53.5966030448,Female
30,52.6130483181,Female
31,51.6300399986,Female
32,50.6477799546,Female
33,49.6664846819,Female
34,48.6863800202,Female
35,47.7076991539,Female
36,46.7306744197,Female
37,45.7554940504,Female
38,44.7822712488,Female
39,43.8110463825,Female
40,42.8418506013,Female
41,41.8747207903,Female
42,40.9097178135,Female
43,39.9469606226,Female
44,38.9866430084,Female
45,38.0290112682,Female
46,37.0743261206,Female
47,36.1228593397,Female
48,35.174888264,Female
49,34.2306892074,Female
50,33.2905356422,Female
51,32.3547250952,Female
52,31.4235989996,Female
53,30.4975460549,Female
54,29.57698416,Female
55,28.6623531229,Female
56,27.7541179977,Female
57,26.8527839846,Female
58,25.9589032936,Female
59,25.0730407675,Female
60,24.1956813103,Female
61,23.3271843682,Female
62,22.4677192361,Female
63,21.6171811878,Female
64,20.7751471675,Female
65,19.9411866071,Female
66,19.1152220699,Female
67,18.2976079493,Female
68,17.4890022251,Female
69,16.6902925088,Female
70,15.9025892466,Female
71,15.1269476051,Female
72,14.3642122205,Female
73,13.6148208776,Female
74,12.8792932038,Female
75,12.1584443346,Female
76,11.4533721196,Female
77,10.7654310539,Female
78,10.0961897573,Female
79,9.4473636856,Female
80,8.8207312582,Female
81,8.2180431978,Female
82,7.6409067766,Female
83,7.0897267031,Female
84,6.5654628265,Female
85,6.0689023631,Female
86,5.6006389108,Female
87,5.1610550955,Female
88,4.750309851,Female
89,4.3683312032,Female
90,4.0148152131,Female
91,3.6892314611,Female
92,3.3908351323,Female
93,3.1186854375,Female
94,2.8716698267,Female
95,2.6485332867,Female
96,2.4479120898,Female
97,2.2683718519,Female
98,2.1084510565,Female
99,1.9667140835,Female
100,1.8418240364,Female
101,1.7326593737,Female
102,1.6385292188,Female
103,1.5596135554,Female
104,1.4979236383,Female
105,1.4594882424,Female
