,,,,,,,,,,,
,,,,,,,,,,,
,,Health in the European Union – facts and figures,,,,,,,,,
,,Cardiovascular diseases,,,,,,,,,
,,,,,,,,,,,
,,"Table 1: Causes of death — diseases of the circulatory system, residents, 2018",,,,,,,,,
,,,,,,,,,,,
,,,"Number of 
deaths ",Share of all deaths,,,Standardised death rates,,,,
,,,,Total,Males,Females,Total,Males,Females,"Persons aged 
< 65 years","Persons aged 
≥ 65 years"
,,,(number),(%),,,(per 100 000 inhabitants),,,,
,,EU (¹),"1,679,369 ",37.1 ,33.9 ,40.2 ,370.2 ,442.8 ,313.9 ,44.8 ,"1,713.5 "
,,Belgium,"28,791 ",26.3 ,24.9 ,27.5 ,245.6 ,297.7 ,206.7 ,27.1 ,"1,147.4 "
,,Bulgaria,"70,542 ",65.8 ,61.7 ,70.3 ,"1,075.9 ","1,294.7 ",912.2 ,164.6 ,"4,838.2 "
,,Czechia,"48,880 ",43.4 ,40.3 ,46.7 ,556.8 ,669.2 ,471.9 ,56.7 ,"2,621.1 "
,,Denmark,"12,427 ",22.6 ,23.4 ,21.7 ,235.7 ,302.3 ,186.2 ,26.6 ,"1,098.8 "
,,Germany,"346,596 ",36.2 ,33.5 ,38.8 ,373.6 ,445.5 ,317.2 ,36.0 ,"1,767.3 "
,,Estonia,"7,963 ",50.9 ,42.8 ,58.2 ,605.7 ,778.5 ,501.6 ,75.5 ,"2,794.7 "
,,Ireland,"9,062 ",29.1 ,29.9 ,28.3 ,277.9 ,338.7 ,223.6 ,30.3 ,"1,300.2 "
,,Greece,"44,224 ",37.0 ,34.7 ,39.3 ,337.7 ,383.3 ,295.8 ,47.6 ,"1,535.4 "
,,Spain,"119,873 ",28.2 ,25.7 ,30.7 ,227.7 ,275.7 ,188.9 ,26.7 ,"1,057.6 "
,,France (¹),"143,975 ",24.3 ,22.5 ,26.0 ,196.1 ,254.0 ,155.9 ,24.1 ,906.4 
,,Croatia,"23,080 ",43.7 ,38.3 ,49.0 ,609.4 ,708.3 ,534.8 ,62.7 ,"2,866.4 "
,,Italy,"219,382 ",34.8 ,31.7 ,37.7 ,281.0 ,336.6 ,240.6 ,24.1 ,"1,341.9 "
,,Cyprus,"1,737 ",29.8 ,30.1 ,29.6 ,292.7 ,340.7 ,249.6 ,30.9 ,"1,373.2 "
,,Latvia,"15,773 ",55.2 ,48.6 ,60.9 ,818.2 ,"1,056.7 ",670.8 ,134.7 ,"3,639.8 "
,,Lithuania,"21,882 ",55.9 ,47.9 ,63.3 ,782.2 ,"1,009.7 ",648.4 ,103.7 ,"3,583.0 "
,,Luxembourg,"1,199 ",29.2 ,28.9 ,29.6 ,262.3 ,334.1 ,211.9 ,29.0 ,"1,225.5 "
,,Hungary,"64,586 ",49.4 ,44.6 ,53.9 ,738.7 ,897.0 ,628.8 ,104.5 ,"3,356.7 "
,,Malta,"1,237 ",33.5 ,32.9 ,34.1 ,311.2 ,368.6 ,262.6 ,36.1 ,"1,447.2 "
,,Netherlands,"38,054 ",25.0 ,25.0 ,25.0 ,246.5 ,296.3 ,208.5 ,23.4 ,"1,167.8 "
,,Austria,"32,849 ",39.7 ,36.2 ,43.0 ,377.0 ,450.5 ,323.1 ,30.4 ,"1,807.7 "
,,Poland,"168,255 ",40.5 ,35.9 ,45.5 ,526.1 ,645.7 ,438.9 ,69.6 ,"2,410.6 "
,,Portugal,"32,772 ",29.0 ,26.1 ,31.9 ,286.9 ,346.4 ,243.9 ,31.9 ,"1,339.6 "
,,Romania,"149,537 ",57.1 ,50.8 ,64.2 ,872.4 ,"1,015.2 ",759.8 ,115.6 ,"3,996.7 "
,,Slovenia,"8,018 ",39.7 ,34.0 ,45.1 ,403.4 ,486.9 ,344.4 ,30.0 ,"1,945.0 "
,,Slovakia,"23,217 ",42.9 ,38.9 ,47.1 ,597.1 ,713.4 ,511.5 ,76.6 ,"2,745.9 "
,,Finland,"18,890 ",34.8 ,35.5 ,34.0 ,329.3 ,440.8 ,251.3 ,38.9 ,"1,528.2 "
,,Sweden,"30,290 ",33.1 ,33.1 ,33.0 ,296.3 ,365.1 ,243.2 ,26.2 ,"1,411.2 "
,,Iceland,655 ,29.6 ,31.3 ,27.9 ,261.3 ,321.7 ,211.5 ,28.8 ,"1,220.8 "
,,Liechtenstein,106 ,39.7 ,38.4 ,41.1 ,361.4 ,447.8 ,296.2 ,8.1 ,"1,819.9 "
,,Norway,"10,147 ",25.2 ,25.1 ,25.2 ,220.4 ,267.5 ,181.8 ,20.4 ,"1,046.1 "
,,Switzerland,"20,761 ",31.1 ,29.6 ,32.4 ,247.8 ,302.4 ,208.1 ,18.8 ,"1,193.1 "
,,Serbia,"52,740 ",52.0 ,47.6 ,56.3 ,837.7 ,906.1 ,774.0 ,93.0 ,"3,912.1 "
,,Turkey,"161,263 ",38.1 ,34.8 ,42.1 ,498.0 ,573.7 ,441.2 ,59.1 ,"2,309.9 "
,,,,,,,,,,,
,,(¹) 2016.,,,,,,,,,
,,Source: Eurostat (online data codes: hlth_cd_aro and hlth_cd_asdr2),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Bookmarks:,,,,,,,,,,,
"https://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-417849_QID_-915F9FB_UID_-3F171EB0&layout=ICD10,L,X,0;SEX,L,X,1;TIME,C,Y,0;GEO,L,Y,1;UNIT,L,Z,0;AGE,L,Z,1;RESID,L,Z,2;INDICATORS,C,Z,3;&zSelection=DS-417849UNIT,NR;DS-417849RESID,TOT_RESID;DS-417849INDICATORS,OBS_FLAG;DS-417849AGE,TOTAL;&rankName1=UNIT_1_2_-1_2&rankName2=AGE_1_2_-1_2&rankName3=RESID_1_2_-1_2&rankName4=INDICATORS_1_2_-1_2&rankName5=ICD10_1_2_0_0&rankName6=SEX_1_2_1_0&rankName7=TIME_1_0_0_1&rankName8=GEO_1_2_1_1&sortR=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=true&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23",,,,,,,,,,,
"https://appsso.eurostat.ec.europa.eu/nui/show.do?query=BOOKMARK_DS-417853_QID_-25E258D6_UID_-3F171EB0&layout=AGE,L,X,0;SEX,L,X,1;TIME,C,Y,0;GEO,L,Y,1;UNIT,L,Z,0;ICD10,L,Z,1;INDICATORS,C,Z,2;&zSelection=DS-417853ICD10,I;DS-417853UNIT,RT;DS-417853INDICATORS,OBS_FLAG;&rankName1=ICD10_1_2_-1_2&rankName2=UNIT_1_2_-1_2&rankName3=INDICATORS_1_2_-1_2&rankName4=AGE_1_2_0_0&rankName5=SEX_1_2_1_0&rankName6=TIME_1_0_0_1&rankName7=GEO_1_2_1_1&sortR=ASC_-1_FIRST&rStp=&cStp=&rDCh=&cDCh=&rDM=true&cDM=true&footnes=false&empty=false&wai=false&time_mode=ROLLING&time_most_recent=false&lang=EN&cfo=%23%23%23%2C%23%23%23.%23%23%23",,,,,,,,,,,
