2020 ,Sex,Age,Location
2845955,Total,Total,Albania
8901064,Total,Total,Austria
11522440,Total,Total,Belgium
6951482,Total,Total,Bulgaria
8606033,Total,Total,Switzerland
888005,Total,Total,Cyprus
10693939,Total,Total,Czechia
83166711,Total,Total,Germany
5822763,Total,Total,Denmark
1328976,Total,Total,Estonia
10718565,Total,Total,Greece
47332614,Total,Total,Spain
5525292,Total,Total,Finland
67320216,Total,Total,France
4058165,Total,Total,Croatia
9769526,Total,Total,Hungary
364134,Total,Total,Iceland
59641488,Total,Total,Italy
38747,Total,Total,Liechtenstein
2794090,Total,Total,Lithuania
626108,Total,Total,Luxembourg
1907675,Total,Total,Latvia
621873,Total,Total,Montenegro
514564,Total,Total,Malta
17407585,Total,Total,Netherlands
5367580,Total,Total,Norway
37958138,Total,Total,Poland
10295909,Total,Total,Portugal
19328838,Total,Total,Romania
6926705,Total,Total,Serbia
10327589,Total,Total,Sweden
2095861,Total,Total,Slovenia
5457873,Total,Total,Slovakia
67025542,Total,Total,United Kingdom
